fund_symbol,fund_category,investment_type,size_type,incept_year,vol_3mth,net_assets,pb_ratio,pe_ratio,fund_return,alpha_3yr,beta_3yr,ann_ret_3yr,std_3yr,sharpe_3yr,treynor_3yr
LABU,"Trading--Leveraged Equity",Growth,Small,2015,3472458,771107136,4.73,NULL,-0.27,-30.73,3.69,2.98,95.58,0.36,-2.46
LBJ,"Trading--Leveraged Equity",Blend,Large,2009,4095,30744126,2.24,14.24,0.13,-42.95,2.94,0.86,86.48,0.1,-13.32
LCG,"Large Growth",Growth,Large,2020,20109,23228484,13.95,46.64,0.1,NULL,NULL,NULL,NULL,NULL,NULL
LCR,"Tactical Allocation",Blend,Large,2020,1758,15104819,3.41,21,0.07,NULL,NULL,NULL,NULL,NULL,NULL
LCTD,"Foreign Large Blend",Blend,Large,2021,4822,603617984,1.92,20.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LDEM,"Diversified Emerging Mkts",Blend,Large,2020,7079,892292480,2.26,18.56,0.1,NULL,NULL,NULL,NULL,NULL,NULL
LGH,"Large Blend",Blend,Large,2019,42446,195732064,4.81,27.37,0.21,NULL,NULL,NULL,NULL,NULL,NULL
LGLV,"Large Blend",Blend,Large,2013,24637,573564736,3.87,25.63,0.12,0.49,0.84,1.39,16.83,0.92,17.92
LIT,"Natural Resources",Growth,Large,2010,1049482,3639320576,4.95,40.26,0.17,12.78,1.4,2.81,32.12,1.01,22.45
LRGE,"Large Growth",Growth,Large,2017,8170,158945712,7.92,34.9,0.12,2.97,1.01,1.85,19.35,1.08,20.83
LRNZ,Technology,Growth,Large,2020,5132,29695528,13.77,NULL,-0.04,NULL,NULL,NULL,NULL,NULL,NULL
LSAF,"Large Blend",Blend,Medium,2018,12645,129052736,3.99,18.75,0.14,NULL,NULL,NULL,NULL,NULL,NULL
LTL,"Trading--Leveraged Equity",Value,Large,2008,2555,2417490,NULL,NULL,0.23,-14.9,1.69,1.36,35,0.43,5.62
LVHD,"Large Value",Value,Large,2015,40701,743712576,3.21,21.19,0.13,-4.35,0.82,0.95,16.76,0.61,11.25
LVHI,"Foreign Large Value",Value,Large,2016,12203,70851416,1.56,14.44,0.13,-1.52,0.75,0.56,15.04,0.36,5.96
LVOL,"Large Blend",Blend,Large,2021,367,5342961,6.6,30.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LYFE,"Large Blend",Blend,Large,2020,2264,12919188,3.11,22.95,0.16,NULL,NULL,NULL,NULL,NULL,NULL
MAGA,"Large Value",Value,Medium,2017,2014,12678522,2.8,21.68,0.22,-8.99,1.28,1.24,24.98,0.54,8.71
MBOX,"Large Value",Value,Large,2021,5127,16143885,4.07,19.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MCHI,"China Region",Blend,Large,2011,4754182,7330310144,2.21,15.59,0.02,3.17,0.74,0.94,19.74,0.51,11.55
MCRO,"World Allocation",Blend,Large,2009,426,4321818,2.07,17.42,0.02,-1.78,0.56,0.42,6.77,0.56,6.69
MDIV,"Allocation--50% to 70% Equity",Value,Medium,2012,75283,491046688,2.03,12.75,0.16,-12.76,1.74,0.51,22.51,0.22,1.22
MDYG,"Mid-Cap Growth",Growth,Medium,2005,200580,1666582272,4.42,28.22,0.12,-5.39,1.11,1.3,21.63,0.66,11.52
MDYV,"Mid-Cap Value",Value,Small,2005,118231,1641398656,2.06,18.2,0.23,-10.2,1.33,1.21,26.68,0.5,7.7
MEXX,"Trading--Leveraged Equity",Blend,Large,2017,5343,23749800,1.98,NULL,0.32,-36.36,3,1.5,81.28,0.21,-8.5
MFDX,"Foreign Large Blend",Value,Large,2017,4341,88977552,1.37,17.77,0.09,-1.43,0.95,0.72,17.12,0.43,6.53
MFEM,"Diversified Emerging Mkts",Value,Large,2017,51230,494443328,1.21,12.96,0.14,2.12,1.06,1.1,19.96,0.6,9.97
MFMS,"Small Growth",Growth,Small,2018,13540,185586048,5.18,43.61,0.04,NULL,NULL,NULL,NULL,NULL,NULL
MFUS,"Large Blend",Value,Large,2017,2783,82677192,2.8,19.98,0.16,-4.4,1,1.22,18.94,0.7,12.32
MGC,"Large Blend",Blend,Large,2007,83606,4133430016,4.87,26.91,0.15,1.14,0.99,1.66,18.4,1.01,18.8
MGK,"Large Growth",Growth,Large,2007,244266,11397450752,11,38.26,0.14,5.72,1.02,2.09,19.96,1.19,23.97
MGMT,"Small Blend",Value,Small,2020,5974,30536358,2.29,19.38,0.35,NULL,NULL,NULL,NULL,NULL,NULL
MGV,"Large Value",Value,Large,2007,128012,4516962304,2.82,19.09,0.16,-3.83,0.95,1.18,18.41,0.7,12.69
MID,"Mid-Cap Growth",Growth,Medium,2020,2896,17595048,7.63,49.26,0.08,NULL,NULL,NULL,NULL,NULL,NULL
MIDU,"Trading--Leveraged Equity",Blend,Medium,2009,45184,110520952,2.75,21.93,0.52,-26.51,3.63,3.25,71.59,0.53,2.11
MILN,"Large Growth",Growth,Large,2016,33298,202081280,7.09,34.97,0.16,3.06,1.2,2.13,23.75,1.02,20.08
MJ,"Miscellaneous Sector",Growth,Small,2015,1335629,1605340544,2.66,NULL,0.44,-20.98,1.81,0.47,56.21,0.08,-4.99
MLPA,"Energy Limited Partnership",Value,Medium,2012,262087,1024138944,1.92,11.99,0.48,-19.72,2.06,0.87,47.42,0.2,-1.32
MLPX,"Energy Limited Partnership",Value,Medium,2013,131304,745640128,2.02,17.05,0.4,-14.78,1.78,0.95,38.26,0.27,1.38
MMTM,"Large Growth",Blend,Large,2012,1320,86289496,4.18,25.4,0.13,-1.07,0.97,1.44,18.22,0.88,16.13
MOAT,"Large Blend",Blend,Large,2012,473645,6249643008,4.46,25.14,0.19,1.63,1.04,1.78,20.02,1,19.14
MOO,"Natural Resources",Blend,Large,2007,64839,1175248512,2.61,24.61,0.17,0.68,1,1.33,19.05,0.77,13.89
MOON,Technology,Growth,Small,2020,56248,189651872,3.6,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL
MORT,"Real Estate",Value,Small,2011,80444,344054528,1.09,5.23,0.21,-12.43,1.77,1.14,39.82,0.31,0.81
MOTI,"Foreign Large Value",Value,Large,2015,5050,71432016,1.29,15.47,0.07,-2.91,1.05,0.67,19.11,0.36,5
MSOS,"Miscellaneous Sector",Growth,Small,2020,1434745,950710464,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL
MTUM,"Large Growth",Growth,Large,2013,980767,15305212928,3.35,20.48,0.08,0.7,0.92,1.52,18.41,0.92,18.08
MVV,"Trading--Leveraged Equity",Blend,Medium,2006,50222,175027920,NULL,NULL,0.35,-17.77,2.44,2.23,48.02,0.53,5.75
MXDU,"Large Blend",Blend,Large,2017,2637,119548696,4.15,25.23,0.12,-1.81,0.95,1.35,18.28,0.82,15.15
NAIL,"Trading--Leveraged Equity",Value,Medium,2015,386911,470225600,2.64,13.48,0.69,0.72,4.06,6.16,96.56,0.75,2.7
NANR,"Natural Resources",Value,Large,2015,23498,558150656,1.85,25.35,0.27,-10.34,1.45,0.94,30.11,0.33,4.08
NAPR,"Large Blend",Growth,Large,2020,2833,52977668,8.57,35.06,0.05,NULL,NULL,NULL,NULL,NULL,NULL
NERD,"Consumer Cyclical",Growth,Medium,2019,18782,98946024,4.09,25.69,0.05,NULL,NULL,NULL,NULL,NULL,NULL
NETL,"Real Estate",Blend,Small,2019,14112,98003568,1.91,33.76,0.17,NULL,NULL,NULL,NULL,NULL,NULL
NFLT,"Multisector Bond",Blend,Small,2015,3351,20379072,1.64,NULL,0.01,1.7,0.79,0.51,7.47,0.66,6.04
NFRA,Infrastructure,Value,Large,2013,77272,2891269888,2.3,20.6,0.08,-1.06,0.78,0.93,15.17,0.65,11.81
NFTY,"India Equity",Blend,Large,2012,6179,76421368,2.94,21.87,0.17,-0.28,1.12,0.94,26.25,0.38,6.09
NGE,"Miscellaneous Region",Value,Small,2013,16079,42941212,0.91,6.68,0.1,-12.28,0.75,-0.34,29.41,-0.18,-12.59
NIFE,"Mid-Cap Blend",Blend,Medium,2020,590,11685861,2.26,17.88,0.19,NULL,NULL,NULL,NULL,NULL,NULL
NJAN,"Large Growth",Growth,Large,2019,14304,116111896,8.57,35.06,0.07,NULL,NULL,NULL,NULL,NULL,NULL
NLR,"Miscellaneous Sector",Value,Medium,2007,5885,25731980,0.91,17.6,0.07,-5.35,0.64,0.41,15.38,0.24,3.95
NOBL,"Large Value",Value,Large,2013,370943,8575520256,3.77,25.11,0.15,-1.11,0.92,1.37,17.96,0.84,15.9
NORW,"Miscellaneous Region",Blend,Medium,2010,33333,46266192,2.07,17.91,0.15,-7.5,1.5,0.64,28.39,0.23,1.67
NTSX,"Large Blend",Blend,Large,2018,228074,517255488,4.68,26.94,0.12,NULL,NULL,NULL,NULL,NULL,NULL
NUGT,"Trading--Leveraged Equity",Blend,Medium,2010,2440303,908583424,1.95,16.85,-0.16,-12.85,2.25,2.35,100.24,0.27,-10.2
NULC,"Large Blend",Blend,Large,2019,1688,26080614,4.56,27.56,0.15,NULL,NULL,NULL,NULL,NULL,NULL
NURE,"Real Estate",Value,Medium,2016,26416,49237192,2.79,52.03,0.27,-1.59,0.94,1.07,20.61,0.56,10.57
NVQ,"Mid-Cap Value",Value,Medium,2020,1982,5666319,1.89,17.98,0.23,NULL,NULL,NULL,NULL,NULL,NULL
NXTG,Technology,Blend,Large,2011,48688,1063927680,2.63,22.24,0.11,3.73,0.9,1.47,17.46,0.93,17.9
OCIO,"Allocation--50% to 70% Equity",Blend,Large,2017,1219,128953464,2.81,21.77,0.08,-1.18,1,0.85,11.43,0.78,8.7
OEUR,"Europe Stock",Blend,Large,2015,9198,26596904,4.19,21.54,0.15,0.72,0.84,0.81,15.81,0.54,9.1
OLD,"Real Estate",Blend,Medium,2016,6659,26093368,2.24,29.93,0.11,-2.93,1.09,1.14,24.24,0.51,8.89
OMFL,"Large Blend",Value,Medium,2017,122316,1568427904,2.59,17.57,0.18,3.6,1.01,1.89,20.63,1.03,21.31
OMFS,"Small Blend",Value,Small,2017,31529,104704488,2.12,12.2,0.27,-3.74,1.21,1.58,26.16,0.68,12.83
ONEO,"Mid-Cap Blend",Blend,Medium,2015,1143,312234496,3.02,18.79,0.17,-7.34,1.15,1.19,22.09,0.59,9.77
ONEQ,"Large Growth",Growth,Large,2003,253063,4283771648,6.31,31.07,0.13,5.09,1.06,2.1,20.66,1.16,23
ONEV,"Mid-Cap Value",Value,Medium,2015,4498,543565568,3.28,19.6,0.17,-3.3,1.02,1.34,19.88,0.74,13.44
ONEY,"Mid-Cap Value",Value,Medium,2015,10691,655207104,2.41,16.52,0.28,-6.73,1.26,1.41,26.04,0.6,10.33
ONLN,"Consumer Cyclical",Growth,Large,2018,70153,1101521152,7.25,28.43,0.07,NULL,NULL,NULL,NULL,NULL,NULL
OOTO,"Trading--Leveraged Equity",Blend,Medium,2021,49230,8977993,3.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OSCV,"Small Blend",Blend,Small,2018,21361,118941880,2.95,22.91,0.17,NULL,NULL,NULL,NULL,NULL,NULL
OUSA,"Large Value",Value,Large,2015,44616,688720320,6.83,24.5,0.11,-2.23,0.86,1.19,16.69,0.78,14.46
OVF,"Foreign Large Blend",Blend,Large,2019,1622,6161503,2.13,21.23,0.07,NULL,NULL,NULL,NULL,NULL,NULL
OVL,"Large Blend",Blend,Large,2019,9774,185318080,4.27,25.99,0.18,NULL,NULL,NULL,NULL,NULL,NULL
OVLH,"Large Blend",Blend,Large,2021,6730,9659576,4.27,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OVS,"Small Blend",Blend,Small,2019,982,5615300,2.2,17.55,0.26,NULL,NULL,NULL,NULL,NULL,NULL
PAK,"Miscellaneous Region",Value,Small,2015,6940,27034420,1.04,5.89,0.05,-15.82,1.18,-0.31,32.33,-0.15,-8.36
PALC,"Large Blend",Value,Large,2020,37540,56212748,2.32,17.55,0.3,NULL,NULL,NULL,NULL,NULL,NULL
PAMC,"Mid-Cap Blend",Value,Small,2020,5712,38563152,1.97,14.73,0.15,NULL,NULL,NULL,NULL,NULL,NULL
PAWZ,"Miscellaneous Sector",Growth,Medium,2018,35254,323540800,6.96,35.75,0.13,NULL,NULL,NULL,NULL,NULL,NULL
PBD,"Miscellaneous Sector",Growth,Medium,2007,122244,422858336,3.89,35.74,-0.11,17.99,1.39,3.22,31.76,1.18,27.8
PBDM,"Foreign Large Blend",Blend,Large,2017,55888,8802117,1.76,19.7,0.09,-0.7,1.01,0.83,18.04,0.48,7.37
PBEE,"Diversified Emerging Mkts",Blend,Large,2017,1040,9104960,2.1,16.41,0.09,2.34,0.96,1.04,18.32,0.61,10.58
PBSM,"Small Blend",Blend,Small,2017,13309,43475168,2.72,19.51,0.19,-6.55,1.27,1.43,25.22,0.63,10.73
PBUS,"Large Blend",Blend,Large,2017,125174,2058950272,4.53,26.71,0.15,0.26,1.02,1.62,18.86,0.97,17.73
PCEF,"Allocation--15% to 30% Equity",Blend,Large,2010,153879,929734080,3.1,22.61,0.13,-3.93,1.41,0.96,16.51,0.62,6.66
PDEV,"Foreign Large Blend",Blend,Large,2019,37184,91694280,1.81,17.31,0.18,NULL,NULL,NULL,NULL,NULL,NULL
PDN,"Foreign Small/Mid Value",Value,Medium,2007,36044,415807104,1.35,16.31,0.12,-2.37,1.08,0.74,19.48,0.39,5.58
PDP,"Large Growth",Growth,Medium,2007,62657,2166772480,6.74,35.59,0.02,0.22,0.94,1.52,19.28,0.88,17.37
PEX,"Miscellaneous Sector",Value,Small,2013,3382,20019220,1.21,5.03,0.2,-8.32,1.38,1.03,27.03,0.41,5.44
PEY,"Mid-Cap Value",Value,Medium,2004,152912,979187264,1.79,16.16,0.21,-7.19,1.02,1,21.34,0.5,8.77
PEZ,"Consumer Cyclical",Growth,Small,2006,7480,120133160,5.56,17.92,0.23,-0.38,1.6,1.95,32.28,0.68,11.58
PFF,"Preferred Stock",Value,Small,2007,4896566,19595597824,NULL,NULL,0.04,2.4,0.96,0.63,11.72,0.54,6.07
PFFA,"Preferred Stock",Value,Small,2018,164641,427056384,NULL,NULL,0.19,6.48,2.4,1.45,37.97,0.43,3.4
PFI,Financial,Value,Medium,2006,17373,68439688,1.9,10.74,0.19,0.49,1.09,1.42,21.99,0.72,13.18
PFLD,"Preferred Stock",Value,Small,2019,43669,45680012,2.78,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL
PFM,"Large Value",Value,Large,2005,48498,642662144,3.96,24.35,0.11,-1.18,0.85,1.25,16.16,0.85,15.85
PFUT,"Large Growth",Growth,Medium,2021,1122,5414631,5.78,29.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PGAL,"Miscellaneous Region",Value,Medium,2013,7846,14938874,1.39,17.26,0.04,-9.83,1.16,0.19,22.3,0.04,-1.22
PGRO,"Large Growth",Growth,Large,2021,1583,6698423,12.2,41.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PHDG,"Long-Short Equity",Blend,Large,2012,80356,181158416,4.42,26.44,0.08,4.2,0.25,0.83,10.67,0.81,33.69
PHYL,"High Yield Bond",Value,Small,2018,10106,66204696,1.5,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL
PID,"Foreign Large Value",Value,Large,2005,64485,594594112,2.19,19.06,0.17,-1.42,1.16,0.89,21.81,0.43,6.24
PIE,"Diversified Emerging Mkts",Growth,Large,2007,68598,231907424,3.77,18.89,0.2,4.21,0.96,1.2,20.11,0.65,12.36
PILL,"Trading--Leveraged Equity",Blend,Medium,2017,110937,17748936,3.37,NULL,-0.07,-34.48,2.96,1.59,70.7,0.25,-2.41
PIN,"India Equity",Blend,Large,2008,24484,112889008,3.51,25.55,0.11,3.57,0.93,1.12,23.05,0.53,10.82
PIO,"Natural Resources",Blend,Medium,2007,34644,288454976,3.85,31.08,0.14,3.76,0.93,1.5,17.61,0.95,17.83
PIZ,"Foreign Large Growth",Growth,Large,2007,31203,191926368,4.41,29.23,0.12,3.11,0.93,1.08,17.98,0.65,11.57
PKW,"Large Value",Value,Medium,2006,327063,2076047488,2.59,13.58,0.24,-2.51,1.19,1.65,23.03,0.8,14.55
PLAT,"Large Growth",Growth,Large,2019,3364,15837037,8.74,38.68,0.11,NULL,NULL,NULL,NULL,NULL,NULL
PLDR,"Large Growth",Growth,Large,2021,238,5162518,5.84,30.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PLRG,"Large Blend",Blend,Large,2021,59435,29841972,4.14,23.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PLTL,"Small Blend",Value,Small,2021,262,6402698,2.14,15.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PNQI,Technology,Growth,Large,2008,13760,1110748416,8.24,37.3,0.12,6.61,1.1,1.93,23.48,0.93,19.54
PPH,Health,Value,Large,2011,35863,232719376,2.93,20.1,0.1,-2.75,0.85,0.87,17.56,0.52,9.48
PPTY,"Real Estate",Blend,Medium,2018,5788,141609472,2.35,38.37,0.2,-2.05,0.95,1.04,20.31,0.56,10.24
PRFZ,"Small Blend",Value,Small,2006,29757,2006491136,2.11,16.61,0.24,-9.69,1.31,1.23,26.49,0.51,8.05
PRN,Industrials,Blend,Medium,2006,11573,372103648,4.36,30.64,0.07,3.19,1.1,1.66,22.21,0.84,16.1
PRNT,Technology,Growth,Medium,2016,85285,556428032,5.12,39.11,0.26,1.04,1.34,1.75,32.05,0.62,12.14
PSCC,"Consumer Defensive",Blend,Small,2010,1752,55459980,2.85,24.14,0.24,0.5,0.83,1.12,20.08,0.6,13
PSCD,"Consumer Cyclical",Value,Small,2010,4282,134813296,3.12,13.49,0.44,2.39,1.71,2.3,37.39,0.7,12.47
PSCE,"Equity Energy",Value,Small,2010,364606,217264432,1.74,NULL,0.83,-44.95,2.93,-0.22,64.1,-0.06,-7.82
PSCF,Financial,Value,Small,2010,4571,52942068,1.29,11.59,0.19,-9.94,1.2,0.67,24.94,0.27,3.11
PSCH,Health,Growth,Small,2010,6182,534904896,3.74,24.67,0.14,-0.46,1.14,1.4,24.17,0.64,11.89
PSCI,Industrials,Blend,Small,2010,2430,127386576,2.69,25.66,0.17,-6.06,1.43,1.27,27.4,0.51,7.58
PSCM,"Natural Resources",Value,Small,2010,1800,31639612,2.4,25.46,0.13,-10.37,1.61,1.13,32.65,0.38,4.54
PSCT,Technology,Growth,Small,2010,8931,467742720,3.57,30.75,0.17,2.8,1.32,1.88,27.15,0.78,14.79
PSCU,Utilities,Value,Small,2010,2693,26724084,2.14,23.45,0.25,-1.4,0.77,0.89,17.82,0.53,10.73
PSCW,"Large Blend",Blend,Large,2021,2825,2128734,4.42,26.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PSCX,"Large Blend",Blend,Large,2020,1006,2180644,4.42,26.45,0.05,NULL,NULL,NULL,NULL,NULL,NULL
PSFD,"Large Blend",Blend,Large,2020,3345,2877681,4.42,26.45,0.11,NULL,NULL,NULL,NULL,NULL,NULL
PSFM,"Large Blend",Blend,Large,2021,1161,6005498,4.42,26.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PSL,"Consumer Defensive",Blend,Medium,2006,3752,136944624,3.81,23.01,0.09,-0.6,0.8,0.99,17.95,0.59,11.92
PSMB,"Allocation--50% to 70% Equity",Blend,Medium,2017,7782,16874140,2.4,19.7,0.1,-0.79,1.1,0.96,12.71,0.81,9.15
PSMC,"Allocation--15% to 30% Equity",Blend,Large,2017,8162,10043555,2.57,20.17,0.03,0.04,0.63,0.64,7.68,0.84,10.09
PSMD,"Large Blend",Blend,Large,2020,2022,4439126,4.43,26.49,0.07,NULL,NULL,NULL,NULL,NULL,NULL
PSMM,"Allocation--30% to 50% Equity",Blend,Large,2017,11230,12626441,2.49,19.86,0.07,-0.31,0.87,0.8,10.09,0.83,9.61
PVAL,"Large Value",Value,Large,2021,4688,5791054,2.49,20.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PXI,"Equity Energy",Value,Small,2006,67893,208995760,2.14,NULL,0.74,-30.82,2.5,0.46,54.2,0.08,-4.12
PYZ,"Natural Resources",Value,Small,2006,19465,217172528,2.43,19.15,0.23,-7.83,1.47,1.17,28.78,0.44,6.22
QABA,Financial,Value,Small,2009,19861,140920944,1.35,14.21,0.24,-11.52,1.24,0.59,29.37,0.2,1.24
QAT,"Miscellaneous Region",Blend,Medium,2014,19283,85345104,1.38,18.15,0.05,2.89,0.55,0.77,14.71,0.54,13.21
QCLN,"Miscellaneous Sector",Growth,Medium,2007,357226,2813062400,4.74,38.26,-0.01,26.91,1.58,4.19,37.11,1.32,33.37
QDEF,"Large Value",Value,Large,2012,21548,478654368,5.22,20.3,0.13,-5.6,0.94,1.01,17.75,0.62,10.6
QDF,"Large Value",Value,Large,2012,29490,1565975168,4.6,19.05,0.15,-6.78,1.01,1.03,19.19,0.58,9.72
QDIV,"Large Value",Value,Medium,2018,732,9300995,2.92,19.56,0.2,NULL,NULL,NULL,NULL,NULL,NULL
QDYN,"Large Value",Value,Large,2012,972,20835878,4.27,19.19,0.18,-4.86,1.11,1.33,20.94,0.7,12.14
QEFA,"Foreign Large Blend",Blend,Large,2014,67788,738560384,1.93,20.62,0.1,0.67,0.86,0.82,15.55,0.56,9.13
QEMM,"Diversified Emerging Mkts",Blend,Large,2014,3167,91424192,1.83,15.27,0.08,0.2,0.89,0.81,16.66,0.51,8.35
QGRO,"Large Growth",Growth,Large,2018,14437,269589440,9.45,30.53,0.13,NULL,NULL,NULL,NULL,NULL,NULL
QINT,"Foreign Large Blend",Blend,Large,2018,15035,176369504,1.88,17.69,0.09,NULL,NULL,NULL,NULL,NULL,NULL
QLD,"Trading--Leveraged Equity",Growth,Large,2006,3111084,5185311744,NULL,NULL,0.25,10.12,2.15,4.12,42.17,1.14,22.4
QLS,"Long-Short Equity",Blend,Large,2015,6020,12191308,2.26,19.97,0.05,-0.52,0.56,0.88,10.8,0.86,16.57
QPT,"Allocation--50% to 70% Equity",Growth,Large,2020,1954,3478578,8.14,35.44,0.03,NULL,NULL,NULL,NULL,NULL,NULL
QPX,"Large Growth",Growth,Large,2020,20346,68762784,7.76,33.69,0.13,NULL,NULL,NULL,NULL,NULL,NULL
QQC,"Large Growth",Growth,Large,2020,9679,2952642,8.1,33.49,0.12,NULL,NULL,NULL,NULL,NULL,NULL
QQD,"Large Growth",Growth,Large,2020,8337,2900557,8.1,33.49,0.12,NULL,NULL,NULL,NULL,NULL,NULL
QQEW,"Large Growth",Growth,Large,2006,44068,1284150528,5.82,32.4,0.11,3.67,1.03,1.93,19.95,1.1,21.52
QQH,"Large Growth",Growth,Large,2019,36890,208431680,8.88,35.19,0.17,NULL,NULL,NULL,NULL,NULL,NULL
QQQ,"Large Growth",Growth,Large,1999,46374673,174510718976,8.57,35.06,0.13,7.84,1.02,2.27,20.24,1.28,26.48
QQQE,"Large Growth",Growth,Large,2012,35082,380120000,5.82,32.44,0.11,3.94,1.03,1.95,19.92,1.11,21.84
QQQJ,"Mid-Cap Growth",Growth,Medium,2020,279822,1214904320,5.9,32.54,0.12,NULL,NULL,NULL,NULL,NULL,NULL
QQQM,"Large Growth",Growth,Large,2020,572508,1120210176,8.57,35.06,0.13,NULL,NULL,NULL,NULL,NULL,NULL
QQQN,"Mid-Cap Growth",Growth,Medium,2020,12224,148466944,7.24,35.15,0.08,NULL,NULL,NULL,NULL,NULL,NULL
QQXT,"Large Growth",Growth,Large,2007,3776,146697376,4.85,32.5,0.09,1.73,0.99,1.71,19.24,1,19.36
QRFT,"Large Growth",Growth,Large,2019,4904,20060576,6.43,30.64,0.11,NULL,NULL,NULL,NULL,NULL,NULL
QSY,"Large Value",Value,Medium,2007,4612,66886528,2.81,16.57,0.22,-5.29,1.2,1.43,23.31,0.68,11.84
QTUM,Technology,Blend,Large,2018,30658,114443368,3.71,24.27,0.2,NULL,NULL,NULL,NULL,NULL,NULL
QUAL,"Large Blend",Blend,Large,2013,1160104,21575913472,6.44,26.33,0.15,0.13,1,1.59,18.66,0.95,17.57
QUS,"Large Blend",Blend,Large,2015,21316,950198272,4.39,25.13,0.15,0.27,0.92,1.49,17.24,0.96,17.79
RAAX,"World Allocation",Value,Medium,2018,12487,11568057,2.27,23.07,0.16,-8.47,1.15,0.37,16.26,0.2,1.62
RBIN,"Foreign Large Blend",Blend,Large,2017,2085,130984360,2.19,19.6,0.05,-1.41,0.73,0.55,13.47,0.4,6.35
RBUS,"Large Blend",Blend,Large,2017,1787,124866248,4.47,24.81,0.1,-0.78,0.87,1.31,16.8,0.86,16.34
RCD,"Consumer Cyclical",Blend,Medium,2006,92876,897177856,4.49,23.93,0.21,-4.88,1.54,1.5,29.47,0.57,8.49
RDFI,"Nontraditional Bond",Value,Medium,2020,6932,39594004,1,3.03,0.13,NULL,NULL,NULL,NULL,NULL,NULL
RDIV,"Large Value",Value,Medium,2013,59911,769087424,1.99,17.77,0.24,-13.82,1.35,0.94,28.64,0.35,4.52
RDOG,"Real Estate",Value,Small,2008,898,31184718,1.62,27.65,0.2,-7.12,1.15,0.86,24.93,0.36,5.31
RDVY,"Large Value",Value,Large,2014,920706,4743275008,2.55,15.04,0.21,-2.5,1.23,1.71,24.14,0.8,14.53
REGL,"Mid-Cap Blend",Value,Small,2015,34891,1026099456,2.35,18.49,0.15,-4.26,0.91,1.09,18.18,0.65,11.89
REIT,"Real Estate",Blend,Medium,2021,3887,21327108,2.29,41.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL
REMX,"Equity Precious Metals",Growth,Medium,2010,205306,758353856,3.8,24.11,0.29,-4.25,1.5,1.51,37.74,0.44,7.2
RESE,"Diversified Emerging Mkts",Blend,Large,2016,3437,35403776,2.15,16.09,0.11,2.39,1,1.08,19.35,0.6,10.39
RESP,"Large Blend",Blend,Large,2007,2753,95839136,3.97,23.23,0.15,-3.1,1.08,1.43,20.15,0.79,13.98
RETL,"Trading--Leveraged Equity",Blend,Small,2010,300142,151214848,3.94,15.63,1.67,23.11,4.23,8.27,117.79,0.83,10.05
RFDA,"Large Blend",Blend,Large,2016,5087,126008016,4.07,23.8,0.15,-5.78,1.03,1.15,19.33,0.65,10.98
RFDI,"Foreign Large Blend",Growth,Large,2016,7159,173420448,3.21,18.64,0.11,-2.03,1,0.71,18.01,0.4,5.87
RFEM,"Diversified Emerging Mkts",Blend,Large,2016,3535,56266224,2.35,12.96,0.09,-1.9,0.98,0.71,19.16,0.38,5.71
RFEU,"Europe Stock",Growth,Large,2016,1235,18660816,3.18,18.22,0.16,-0.98,1.06,0.85,19.4,0.46,6.92
RFFC,"Large Blend",Blend,Large,2016,2264,62540648,4.85,25.81,0.14,-8.52,1.12,1.05,21.15,0.54,8.59
RGI,Industrials,Blend,Medium,2006,19844,606064960,4.83,28.76,0.19,1.36,1.29,1.72,24.42,0.79,13.95
RHS,"Consumer Defensive",Value,Large,2006,14544,475092672,3.96,23.52,0.07,1.09,0.68,0.99,14.52,0.73,14.93
RING,"Equity Precious Metals",Blend,Medium,2012,126875,528589344,1.71,14.33,-0.05,11.34,0.76,1.94,38.46,0.57,22.04
RISN,"Allocation--50% to 70% Equity",Blend,Large,2020,14261,95800352,5.08,33.5,0.14,NULL,NULL,NULL,NULL,NULL,NULL
RLY,"World Allocation",Value,Large,2012,33562,130358616,1.91,21.72,0.17,-8.61,1.38,0.54,16.7,0.31,2.9
RNDM,"Foreign Large Blend",Blend,Large,2017,1666,24950948,2.14,21.24,0.08,-2.23,0.86,0.59,15.67,0.37,5.48
RNDV,"Large Value",Value,Large,2017,5838,13251442,3.29,22.14,0.21,-4.5,1.08,1.32,21.08,0.69,12.33
RNEM,"Diversified Emerging Mkts",Value,Large,2017,314,7499187,1.29,11.44,0.09,-4.59,0.9,0.41,17.4,0.22,2.51
